[trc] 2017-03-13 17:28:12 | Pinging peer: 96.126.106.18:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 162.243.246.43:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 198.211.112.10:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.131.83.24:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 138.197.92.8:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.236.230.133:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.236.8.130:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 162.243.126.157:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 149.56.30.123:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 158.69.245.12:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 192.99.132.15:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 158.69.213.163:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 144.217.86.167:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 167.114.25.234:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 167.114.150.69:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 149.56.133.233:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 144.217.86.173:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 192.99.55.209:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 158.69.217.42:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 144.217.94.208:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 144.217.92.145:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 144.217.164.237:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 149.56.102.189:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 159.203.170.142:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 144.217.86.54:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 167.114.150.71:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.238.162.113:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 144.217.84.41:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 158.69.217.218:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 45.76.28.137:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 149.56.201.157:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 138.197.135.62:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 159.203.58.84:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 45.32.217.150:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 142.54.188.76:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 89.46.75.162:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 209.126.111.171:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 13.85.30.41:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.207.147.65:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 45.33.30.211:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 173.253.129.10:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.2.176:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.214.183:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.2.167:8000
